year,1896,1925,1958,1988,2006
0,1,1,1,1,1
1,"0,8032","0,8556","0,9675","0,9886","0,9916"
2,"0,7418","0,8088","0,9632","0,9868","0,9905"
3,"0,7058","0,7819","0,9614","0,986","0,9899"
4,"0,6829","0,7636","0,9603","0,9853","0,9895"
5,"0,6668","0,7504","0,9594","0,9848","0,9891"
6,"0,655","0,7407","0,9586","0,9843","0,9888"
7,"0,6465","0,7337","0,9579","0,9839","0,9885"
8,"0,6401","0,728","0,9573","0,9836","0,9883"
9,"0,635","0,7235","0,9567","0,9833","0,988"
10,"0,6307","0,7198","0,9562","0,983","0,9878"
11,"0,6267","0,7168","0,9557","0,9827","0,9876"
12,"0,623","0,7142","0,9552","0,9824","0,9874"
13,"0,6194","0,7116","0,9547","0,9821","0,9872"
14,"0,6159","0,709","0,9542","0,9818","0,9869"
15,"0,6123","0,7063","0,9536","0,9814","0,9867"
16,"0,6085","0,7033","0,953","0,981","0,9863"
17,"0,6045","0,7001","0,9522","0,9805","0,9859"
18,"0,6004","0,6966","0,9515","0,98","0,9855"
19,"0,5961","0,693","0,9506","0,9794","0,985"
20,"0,5919","0,6891","0,9497","0,9788","0,9845"
21,"0,5875","0,6851","0,9487","0,9782","0,9839"
22,"0,583","0,681","0,9476","0,9776","0,9833"
23,"0,5784","0,6769","0,9465","0,9771","0,9827"
24,"0,5738","0,6726","0,9454","0,9765","0,982"
25,"0,569","0,6683","0,9442","0,9759","0,9813"
26,"0,5643","0,6639","0,943","0,9753","0,9804"
27,"0,5594","0,6596","0,9418","0,9747","0,9794"
28,"0,5547","0,6553","0,9406","0,9741","0,9782"
29,"0,55","0,651","0,9393","0,9734","0,9768"
30,"0,5452","0,6466","0,938","0,9727","0,9754"
31,"0,5405","0,6423","0,9367","0,972","0,9739"
32,"0,5356","0,638","0,9353","0,9712","0,9722"
33,"0,5307","0,6337","0,9339","0,9703","0,9704"
34,"0,5257","0,6293","0,9324","0,9694","0,9686"
35,"0,5205","0,6249","0,9308","0,9683","0,9666"
36,"0,5153","0,6205","0,9291","0,9672","0,9644"
37,"0,51","0,6161","0,9274","0,9659","0,9622"
38,"0,5047","0,6116","0,9255","0,9646","0,9598"
39,"0,4994","0,6071","0,9236","0,9632","0,9573"
40,"0,4941","0,6026","0,9215","0,9617","0,9548"
41,"0,4885","0,598","0,9192","0,96","0,9519"
42,"0,4828","0,5933","0,9168","0,9582","0,9493"
43,"0,4769","0,5886","0,9143","0,9562","0,9463"
44,"0,4706","0,5838","0,9116","0,954","0,943"
45,"0,4642","0,579","0,9087","0,9516","0,9398"
46,"0,4577","0,5741","0,9057","0,9489","0,9361"
47,"0,451","0,5692","0,9026","0,946","0,9321"
48,"0,4441","0,5641","0,8992","0,9429","0,928"
49,"0,4371","0,559","0,8956","0,9395","0,9237"
50,"0,4299","0,5537","0,8918","0,9359","0,9192"
51,"0,4223","0,5482","0,8877","0,9321","0,9141"
52,"0,4145","0,5425","0,8833","0,9279","0,9086"
53,"0,4062","0,5366","0,8786","0,9232","0,9028"
54,"0,3973","0,5303","0,8736","0,9179","0,8967"
55,"0,3879","0,5237","0,8681","0,9121","0,8897"
56,"0,3776","0,5167","0,8622","0,9057","0,8821"
57,"0,3673","0,5093","0,8558","0,8989","0,8736"
58,"0,3564","0,5014","0,8489","0,8918","0,8644"
59,"0,3447","0,4931","0,8415","0,8845","0,8563"
60,"0,3328","0,4842","0,8336","0,8769","0,8457"
61,"0,3205","0,4748","0,825","0,8688","0,8358"
62,"0,3077","0,4648","0,8157","0,86","0,825"
63,"0,2942","0,4542","0,8058","0,8501","0,8121"
64,"0,28","0,4428","0,795","0,8389","0,7999"
65,"0,2651","0,4305","0,7833","0,8265","0,7857"
66,"0,2495","0,4174","0,7706","0,8126","0,7715"
67,"0,2336","0,4035","0,7567","0,7972","0,7559"
68,"0,2179","0,3887","0,7415","0,7802","0,7388"
69,"0,2025","0,373","0,7248","0,7615","0,7207"
70,"0,1877","0,3566","0,7066","0,7411","0,7005"
71,"0,1735","0,3394","0,6867","0,719","0,6785"
72,"0,1596","0,3215","0,6653","0,6951","0,6544"
73,"0,1462","0,303","0,6423","0,6693","0,6309"
74,"0,1333","0,284","0,6179","0,6418","0,6048"
75,"0,1209","0,2646","0,592","0,6125","0,5763"
76,"0,1091","0,2449","0,5648","0,5816","0,5471"
77,"0,098","0,2253","0,5362","0,549","0,5155"
78,"0,0876","0,2061","0,5061","0,5151","0,4821"
79,"0,0779","0,1876","0,4746","0,4799","0,4475"
80,"0,069","0,1697","0,4419","0,4437","0,4109"
81,"0,0609","0,1525","0,4082","0,4069","0,3745"
82,"0,0535","0,136","0,374","0,3696","0,3375"
83,"0,0469","0,1203","0,3394","0,3324","0,2985"
84,"0,041","0,1055","0,3049","0,2956","0,2625"
85,"0,0358","0,0917","0,271","0,2597","0,2264"
86,"0,0312","0,079","0,2381","0,225","0,193"
87,"0,0271","0,0673","0,2066","0,1921","0,1608"
88,"0,0236","0,0566","0,1769","0,1613","0,1293"
89,"0,0205","0,0471","0,1493","0,133","0,1042"
90,"0,0178","0,0387","0,1241","0,1075","0,0807"
91,"0,0155","0,0313","0,1016","0,085","0,0602"
